2025-07-11 01:01:03,180 [INFO] [1/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/run_manifest.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/run_manifest.json', 'status': 'no_candidates'}
2025-07-11 01:01:12,603 [INFO] [30/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-001/REQ-001-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-001/REQ-001-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:12,663 [INFO] [31/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-001/REQ-001-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-001/REQ-001-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:13,708 [INFO] [35/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:13,975 [INFO] [38/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_8-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_8-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:14,569 [INFO] [40/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.03609601780772209}
2025-07-11 01:01:15,146 [INFO] [43/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-007/REQ-007-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:16,388 [INFO] [50/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_9-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:16,426 [INFO] [51/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_2-Item_5-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:17,573 [INFO] [53/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-009/REQ-009-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:18,973 [INFO] [60/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-014/REQ-014-HLJ-Chunk_2-Item_7-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-014/REQ-014-HLJ-Chunk_2-Item_7-v1.0_yake.json', 'status': 'success', 'silhouette': 0.038847070187330246}
2025-07-11 01:01:19,045 [INFO] [61/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-014/REQ-014-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-014/REQ-014-HLJ-Chunk_1-Item_2-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:20,913 [INFO] [70/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'success', 'silhouette': 0.0304927546530962}
2025-07-11 01:01:21,361 [INFO] [72/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:22,095 [INFO] [76/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_2-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_2-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:22,426 [INFO] [78/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_4-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:22,492 [INFO] [79/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_3-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:22,545 [INFO] [80/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_1-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:23,172 [INFO] [82/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_7-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-013/REQ-013-HLJ-Chunk_2-Item_7-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:23,516 [INFO] [84/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_5-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:23,579 [INFO] [85/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:23,777 [INFO] [87/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-025/REQ-025-HLJ-Chunk_1-Item_1-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:24,701 [INFO] [90/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-022/REQ-022-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-022/REQ-022-HLJ-Chunk_1-Item_4-v1.0_yake.json', 'status': 'success', 'silhouette': 0.015226438641548157}
2025-07-11 01:01:24,788 [INFO] [91/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-022/REQ-022-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-022/REQ-022-HLJ-Chunk_1-Item_3-v1.0_yake.json', 'status': 'error', 'error': 'Number of labels is 5. Valid values are 2 to n_samples - 1 (inclusive)'}
2025-07-11 01:01:26,471 [INFO] [100/5983] {'input': 'keyword_extract/v1/step_4/semantic/per_method/minilm-l6-v2/stanza/yake/meta70b/req-023/REQ-023-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'output': 'keyword_extract/v1/step_4/semantic/silhouette/minilm-l6-v2/stanza/yake/meta70b/req-023/REQ-023-HLJ-Chunk_2-Item_6-v1.0_yake.json', 'status': 'success', 'silhouette': 0.035468459129333496}
