requirement,hlj_id,dropped_tag
req-007,REQ-007-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] exception
req-007,REQ-007-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] immutability
req-007,REQ-007-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] reporting
req-007,REQ-007-HLJ-Chunk_1-Item_10-v1.0,usability
req-007,REQ-007-HLJ-Chunk_1-Item_10-v1.0,ux
req-007,REQ-007-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] transparency
req-007,REQ-007-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] compliance
req-009,REQ-009-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] usability
req-009,REQ-009-HLJ-Chunk_1-Item_2-v1.0,locking
req-009,REQ-009-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] risk management
req-009,REQ-009-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] countdown
req-009,REQ-009-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] integrations
req-009,REQ-009-HLJ-Chunk_1-Item_5-v1.0,notifications
req-009,REQ-009-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] fallback
req-009,REQ-009-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] traceability
req-009,REQ-009-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] user confirmation
req-009,REQ-009-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] cancellation
req-009,REQ-009-HLJ-Chunk_1-Item_9-v1.0,abuse prevention
req-009,REQ-009-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] compliance
req-009,REQ-009-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] regulatory reporting
req-009,REQ-009-HLJ-Chunk_2-Item_2-v1.0,notifications
req-009,REQ-009-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] messaging
req-009,REQ-009-HLJ-Chunk_2-Item_3-v1.0,dashboard
req-009,REQ-009-HLJ-Chunk_2-Item_4-v1.0,availability
req-009,REQ-009-HLJ-Chunk_2-Item_4-v1.0,[INFERRED] outage-handling
req-009,REQ-009-HLJ-Chunk_2-Item_5-v1.0,error handling
req-009,REQ-009-HLJ-Chunk_2-Item_5-v1.0,[INFERRED] retry
req-009,REQ-009-HLJ-Chunk_2-Item_6-v1.0,[INFERRED] integrations
req-009,REQ-009-HLJ-Chunk_2-Item_7-v1.0,[INFERRED] reliability
req-009,REQ-009-HLJ-Chunk_2-Item_8-v1.0,usability
req-009,REQ-009-HLJ-Chunk_2-Item_8-v1.0,[INFERRED] rollout
req-009,REQ-009-HLJ-Chunk_2-Item_9-v1.0,usability
req-009,REQ-009-HLJ-Chunk_2-Item_10-v1.0,modularity
req-009,REQ-009-HLJ-Chunk_2-Item_10-v1.0,[INFERRED] implementation
req-014,REQ-014-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] coverage
req-014,REQ-014-HLJ-Chunk_1-Item_3-v1.0,coverage
req-014,REQ-014-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] privacy
req-014,REQ-014-HLJ-Chunk_1-Item_9-v1.0,logging
req-013,REQ-013-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] compliance
req-013,REQ-013-HLJ-Chunk_1-Item_2-v1.0,logging
req-013,REQ-013-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] traceability
req-013,REQ-013-HLJ-Chunk_1-Item_3-v1.0,scheduling
req-013,REQ-013-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] flexibility
req-013,REQ-013-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] reliability
req-013,REQ-013-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] consistency
req-013,REQ-013-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] recovery
req-013,REQ-013-HLJ-Chunk_1-Item_7-v1.0,logging
req-013,REQ-013-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] traceability
req-013,REQ-013-HLJ-Chunk_1-Item_8-v1.0,logging
req-013,REQ-013-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] compliance
req-013,REQ-013-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] analytics
req-013,REQ-013-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] monitoring
req-013,REQ-013-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] transparency
req-013,REQ-013-HLJ-Chunk_2-Item_3-v1.0,[INFERRED] audit
req-025,REQ-025-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] performance
req-025,REQ-025-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] analytics
req-025,REQ-025-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] analytics
req-025,REQ-025-HLJ-Chunk_1-Item_4-v1.0,alerting
req-025,REQ-025-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] regression
req-025,REQ-025-HLJ-Chunk_1-Item_5-v1.0,alerting
req-025,REQ-025-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] performance
req-025,REQ-025-HLJ-Chunk_1-Item_6-v1.0,cicd
req-025,REQ-025-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] performance
req-025,REQ-025-HLJ-Chunk_1-Item_7-v1.0,automation
req-025,REQ-025-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] regression
req-025,REQ-025-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] alerting
req-025,REQ-025-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] performance
req-025,REQ-025-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] analytics
req-025,REQ-025-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] compliance
req-025,REQ-025-HLJ-Chunk_2-Item_2-v1.0,self-service
req-022,REQ-022-HLJ-Chunk_1-Item_1-v1.0,logging
req-022,REQ-022-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] compliance
req-022,REQ-022-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] policy
req-022,REQ-022-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] security
req-022,REQ-022-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] usability
req-022,REQ-022-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] data-protection
req-022,REQ-022-HLJ-Chunk_1-Item_6-v1.0,historical
req-022,REQ-022-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] integrity
req-022,REQ-022-HLJ-Chunk_1-Item_7-v1.0,notification
req-022,REQ-022-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] alerting
req-022,REQ-022-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] enablement
req-022,REQ-022-HLJ-Chunk_1-Item_9-v1.0,rate-limit
req-022,REQ-022-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] security
req-022,REQ-022-HLJ-Chunk_1-Item_10-v1.0,regulation
req-022,REQ-022-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] data-protection
req-023,REQ-023-HLJ-Chunk_1-Item_1-v1.0,feature-flags
req-023,REQ-023-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] geo-segmentation
req-023,REQ-023-HLJ-Chunk_1-Item_2-v1.0,feature-flags
req-023,REQ-023-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] progressive-rollout
req-023,REQ-023-HLJ-Chunk_1-Item_3-v1.0,feature-flags
req-023,REQ-023-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] portal
req-023,REQ-023-HLJ-Chunk_1-Item_4-v1.0,real-time
req-023,REQ-023-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] location-resolution
req-023,REQ-023-HLJ-Chunk_1-Item_5-v1.0,fault-tolerance
req-023,REQ-023-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] fallback
req-023,REQ-023-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] kpi-tracking
req-023,REQ-023-HLJ-Chunk_1-Item_7-v1.0,alerting
req-023,REQ-023-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] automation
req-023,REQ-023-HLJ-Chunk_1-Item_8-v1.0,communication
req-023,REQ-023-HLJ-Chunk_1-Item_8-v1.0,user-option
req-023,REQ-023-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] user-notification
req-023,REQ-023-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] data-protection
req-023,REQ-023-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] event-logging
req-023,REQ-023-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] compliance
req-023,REQ-023-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] enablement
req-023,REQ-023-HLJ-Chunk_2-Item_3-v1.0,[INFERRED] compliance
req-024,REQ-024-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] notification
req-024,REQ-024-HLJ-Chunk_1-Item_2-v1.0,usability
req-024,REQ-024-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] notification
req-024,REQ-024-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] personalization
req-024,REQ-024-HLJ-Chunk_1-Item_4-v1.0,automation
req-024,REQ-024-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] notification
req-024,REQ-024-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] analytics
req-024,REQ-024-HLJ-Chunk_1-Item_7-v1.0,dashboard
req-024,REQ-024-HLJ-Chunk_1-Item_8-v1.0,automation
req-024,REQ-024-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] notification
req-024,REQ-024-HLJ-Chunk_1-Item_10-v1.0,logging
req-024,REQ-024-HLJ-Chunk_2-Item_1-v1.0,usability
req-024,REQ-024-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] compliance
req-024,REQ-024-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] compliance
req-024,REQ-024-HLJ-Chunk_2-Item_4-v1.0,help-center
req-024,REQ-024-HLJ-Chunk_2-Item_4-v1.0,[INFERRED] compliance
req-012,REQ-012-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] automation
req-012,REQ-012-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] transparency
req-012,REQ-012-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] compliance
req-012,REQ-012-HLJ-Chunk_1-Item_9-v1.0,logging
req-012,REQ-012-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] compliance
req-012,REQ-012-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] automation
req-012,REQ-012-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] compliance
req-012,REQ-012-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] compliance
req-012,REQ-012-HLJ-Chunk_2-Item_3-v1.0,usability
req-012,REQ-012-HLJ-Chunk_2-Item_3-v1.0,[INFERRED] compliance
req-015,REQ-015-HLJ-Chunk_1-Item_1-v1.0,webhooks
req-015,REQ-015-HLJ-Chunk_1-Item_1-v1.0,notifications
req-015,REQ-015-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] compliance
req-015,REQ-015-HLJ-Chunk_1-Item_2-v1.0,webhooks
req-015,REQ-015-HLJ-Chunk_1-Item_3-v1.0,customization
req-015,REQ-015-HLJ-Chunk_1-Item_3-v1.0,webhooks
req-015,REQ-015-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] usability
req-015,REQ-015-HLJ-Chunk_1-Item_5-v1.0,error-handling
req-015,REQ-015-HLJ-Chunk_1-Item_7-v1.0,notifications
req-015,REQ-015-HLJ-Chunk_1-Item_8-v1.0,usability
req-015,REQ-015-HLJ-Chunk_1-Item_10-v1.0,self-service
req-015,REQ-015-HLJ-Chunk_2-Item_1-v1.0,logging
req-015,REQ-015-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] auditing
req-015,REQ-015-HLJ-Chunk_2-Item_2-v1.0,rate-limiting
req-015,REQ-015-HLJ-Chunk_2-Item_2-v1.0,performance
req-015,REQ-015-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] reliability
req-015,REQ-015-HLJ-Chunk_2-Item_5-v1.0,dependency
req-015,REQ-015-HLJ-Chunk_2-Item_6-v1.0,scalability
req-015,REQ-015-HLJ-Chunk_2-Item_6-v1.0,availability
req-015,REQ-015-HLJ-Chunk_2-Item_6-v1.0,[INFERRED] reliability
req-002,REQ-002-HLJ-Chunk_1-Item_1-v1.0,usability
req-002,REQ-002-HLJ-Chunk_1-Item_3-v1.0,usability
req-002,REQ-002-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] compliance
req-002,REQ-002-HLJ-Chunk_1-Item_5-v1.0,usability
req-002,REQ-002-HLJ-Chunk_1-Item_6-v1.0,maintainability
req-002,REQ-002-HLJ-Chunk_1-Item_10-v1.0,maintainability
req-002,REQ-002-HLJ-Chunk_1-Item_10-v1.0,usability
req-005,REQ-005-HLJ-Chunk_1-Item_1-v1.0,frontend
req-005,REQ-005-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] security
req-005,REQ-005-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] accessibility
req-005,REQ-005-HLJ-Chunk_1-Item_3-v1.0,error_handling
req-005,REQ-005-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] compliance
req-005,REQ-005-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] security
req-005,REQ-005-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] reliability
req-005,REQ-005-HLJ-Chunk_2-Item_2-v1.0,integration
req-005,REQ-005-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] consistency
req-005,REQ-005-HLJ-Chunk_2-Item_3-v1.0,[INFERRED] authorization
req-005,REQ-005-HLJ-Chunk_2-Item_4-v1.0,[INFERRED] logging
req-005,REQ-005-HLJ-Chunk_2-Item_5-v1.0,availability
req-005,REQ-005-HLJ-Chunk_2-Item_5-v1.0,resilience
req-005,REQ-005-HLJ-Chunk_2-Item_5-v1.0,[INFERRED] user-notification
req-005,REQ-005-HLJ-Chunk_2-Item_6-v1.0,consistency
req-005,REQ-005-HLJ-Chunk_2-Item_6-v1.0,error_handling
req-005,REQ-005-HLJ-Chunk_2-Item_6-v1.0,[INFERRED] rollback
req-005,REQ-005-HLJ-Chunk_2-Item_7-v1.0,consistency
req-005,REQ-005-HLJ-Chunk_2-Item_7-v1.0,error_handling
req-005,REQ-005-HLJ-Chunk_2-Item_7-v1.0,[INFERRED] concurrency
req-005,REQ-005-HLJ-Chunk_2-Item_10-v1.0,regulation
req-004,REQ-004-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] traceability
req-004,REQ-004-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] auditability
req-004,REQ-004-HLJ-Chunk_1-Item_8-v1.0,edge-case
req-004,REQ-004-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] multi-user
req-004,REQ-004-HLJ-Chunk_1-Item_9-v1.0,access-control
req-004,REQ-004-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] reporting
req-004,REQ-004-HLJ-Chunk_2-Item_3-v1.0,real-time
req-004,REQ-004-HLJ-Chunk_2-Item_3-v1.0,[INFERRED] security
req-003,REQ-003-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] configurability
req-003,REQ-003-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] customization
req-003,REQ-003-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] analytics
req-003,REQ-003-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] real-time
req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,false-positive
req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,logging
req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] maintainability
req-003,REQ-003-HLJ-Chunk_1-Item_7-v1.0,rate-limiting
req-003,REQ-003-HLJ-Chunk_1-Item_7-v1.0,usability
req-003,REQ-003-HLJ-Chunk_1-Item_8-v1.0,logging
req-003,REQ-003-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] auditability
req-003,REQ-003-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] data-minimization
req-010,REQ-010-HLJ-Chunk_1-Item_1-v1.0,real-time
req-010,REQ-010-HLJ-Chunk_1-Item_2-v1.0,regulatory
req-010,REQ-010-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] compliance
req-010,REQ-010-HLJ-Chunk_1-Item_3-v1.0,synchronization
req-010,REQ-010-HLJ-Chunk_1-Item_4-v1.0,phantom-balance
req-010,REQ-010-HLJ-Chunk_1-Item_5-v1.0,phantom-balance
req-010,REQ-010-HLJ-Chunk_1-Item_6-v1.0,visibility
req-010,REQ-010-HLJ-Chunk_1-Item_7-v1.0,phantom-balance
req-010,REQ-010-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] reconciliation
req-010,REQ-010-HLJ-Chunk_1-Item_9-v1.0,tooling
req-010,REQ-010-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] reconciliation
req-010,REQ-010-HLJ-Chunk_1-Item_10-v1.0,workflow
req-010,REQ-010-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] compliance
req-010,REQ-010-HLJ-Chunk_2-Item_1-v1.0,logging
req-010,REQ-010-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] immutable
req-010,REQ-010-HLJ-Chunk_2-Item_2-v1.0,access-control
req-010,REQ-010-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] least-privilege
req-010,REQ-010-HLJ-Chunk_2-Item_3-v1.0,[INFERRED] compliance
req-028,REQ-028-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] sentiment
req-028,REQ-028-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] escalation
req-028,REQ-028-HLJ-Chunk_1-Item_3-v1.0,priority
req-028,REQ-028-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] escalation
req-028,REQ-028-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] self-service
req-028,REQ-028-HLJ-Chunk_1-Item_5-v1.0,edge-case
req-028,REQ-028-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] tone-analysis
req-028,REQ-028-HLJ-Chunk_1-Item_6-v1.0,continuous-learning
req-028,REQ-028-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] retraining
req-028,REQ-028-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] latency
req-028,REQ-028-HLJ-Chunk_1-Item_8-v1.0,usability
req-028,REQ-028-HLJ-Chunk_1-Item_8-v1.0,change-management
req-028,REQ-028-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] training
req-028,REQ-028-HLJ-Chunk_1-Item_9-v1.0,analytics
req-028,REQ-028-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] kpi
req-028,REQ-028-HLJ-Chunk_1-Item_10-v1.0,analytics
req-028,REQ-028-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] reporting
req-028,REQ-028-HLJ-Chunk_2-Item_1-v1.0,[INFERRED] traceability
req-028,REQ-028-HLJ-Chunk_2-Item_2-v1.0,[INFERRED] privacy
req-017,REQ-017-HLJ-Chunk_1-Item_1-v1.0,proration
req-017,REQ-017-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] finance
req-017,REQ-017-HLJ-Chunk_1-Item_2-v1.0,[INFERRED] scheduling
req-017,REQ-017-HLJ-Chunk_1-Item_3-v1.0,events
req-017,REQ-017-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] audit
req-017,REQ-017-HLJ-Chunk_1-Item_4-v1.0,tax
req-017,REQ-017-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] transparency
req-017,REQ-017-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] period-alignment
req-017,REQ-017-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] fraud
req-017,REQ-017-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] communication
req-017,REQ-017-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] anomaly-detection
req-017,REQ-017-HLJ-Chunk_1-Item_9-v1.0,[INFERRED] enablement
req-017,REQ-017-HLJ-Chunk_1-Item_10-v1.0,[INFERRED] compliance
req-021,REQ-021-HLJ-Chunk_1-Item_1-v1.0,ux
req-021,REQ-021-HLJ-Chunk_1-Item_2-v1.0,ux
req-021,REQ-021-HLJ-Chunk_1-Item_4-v1.0,ux
req-021,REQ-021-HLJ-Chunk_1-Item_5-v1.0,notifications
req-021,REQ-021-HLJ-Chunk_1-Item_6-v1.0,ux
req-021,REQ-021-HLJ-Chunk_1-Item_7-v1.0,ux
req-021,REQ-021-HLJ-Chunk_1-Item_8-v1.0,usability
req-021,REQ-021-HLJ-Chunk_1-Item_9-v1.0,usability
req-019,REQ-019-HLJ-Chunk_1-Item_1-v1.0,[INFERRED] persistence
req-019,REQ-019-HLJ-Chunk_1-Item_2-v1.0,automation
req-019,REQ-019-HLJ-Chunk_1-Item_3-v1.0,[INFERRED] weighting
req-019,REQ-019-HLJ-Chunk_1-Item_4-v1.0,usability
req-019,REQ-019-HLJ-Chunk_1-Item_4-v1.0,[INFERRED] configurability
req-019,REQ-019-HLJ-Chunk_1-Item_5-v1.0,heatmap
req-019,REQ-019-HLJ-Chunk_1-Item_5-v1.0,[INFERRED] trends
req-019,REQ-019-HLJ-Chunk_1-Item_6-v1.0,[INFERRED] comparison
req-019,REQ-019-HLJ-Chunk_1-Item_7-v1.0,[INFERRED] interoperability
req-019,REQ-019-HLJ-Chunk_1-Item_8-v1.0,edge-case
req-019,REQ-019-HLJ-Chunk_1-Item_8-v1.0,[INFERRED] deduplication
req-019,REQ-019-HLJ-Chunk_1-Item_9-v1.0,usability
req-019,REQ-019-HLJ-Chunk_1-Item_9-v1.0,error-handling
