model,requirement,hlj_id,tags_added,tags_dropped,num_tags_added,num_tags_dropped,total_tag_changes,top_reason
meta70b,req-025,REQ-025-HLJ-Chunk_1-Item_5-v1.0,['alert'],"['alerting', '[INFERRED] notification']",1,2,3,direct
gpt41,req-010,REQ-010-HLJ-Chunk_1-Item_7-v1.0,['phantom balance'],"['[INFERRED] reconciliation', 'phantom-balance']",1,2,3,direct
gpt41,req-005,REQ-005-HLJ-Chunk_2-Item_6-v1.0,[],"['consistency', '[INFERRED] rollback', 'error_handling']",0,3,3,none
gpt41,req-029,REQ-029-HLJ-Chunk_1-Item_2-v1.0,['logs'],"['[INFERRED] session-tracking', 'logging']",1,2,3,direct
meta70b,req-015,REQ-015-HLJ-Chunk_1-Item_9-v1.0,[],"['scalability', '[INFERRED] architecture', 'performance']",0,3,3,none
meta70b,req-015,REQ-015-HLJ-Chunk_1-Item_6-v1.0,['logs'],"['[INFERRED] analytics', 'logging']",1,2,3,direct
gpt41,req-019,REQ-019-HLJ-Chunk_1-Item_9-v1.0,[],"['error-handling', 'usability', '[INFERRED] guidance']",0,3,3,none
gpt41,req-009,REQ-009-HLJ-Chunk_2-Item_2-v1.0,['notification'],"['notifications', '[INFERRED] messaging']",1,2,3,direct
gpt41,req-015,REQ-015-HLJ-Chunk_2-Item_1-v1.0,['logs'],"['[INFERRED] auditing', 'logging']",1,2,3,direct
gpt41,req-015,REQ-015-HLJ-Chunk_2-Item_2-v1.0,[],"['performance', '[INFERRED] reliability', 'rate-limiting']",0,3,3,none
opus4,req-006,REQ-006-HLJ-Chunk_1-Item_2-v1.0,[],"['[INFERRED] resilience', 'burst-control', 'rate-limiting']",0,3,3,none
meta70b,req-012,REQ-012-HLJ-Chunk_2-Item_6-v1.0,['exemption'],"['exemptions', '[INFERRED] compliance']",1,2,3,direct
opus4,req-006,REQ-006-HLJ-Chunk_1-Item_4-v1.0,[],"['infrastructure', 'api-gateway', 'rate-limiting']",0,3,3,none
gpt41,req-029,REQ-029-HLJ-Chunk_1-Item_1-v1.0,['logs'],"['[INFERRED] traceability', 'logging']",1,2,3,direct
gpt41,req-009,REQ-009-HLJ-Chunk_1-Item_5-v1.0,['notification'],"['notifications', '[INFERRED] fallback']",1,2,3,direct
gpt41,req-013,REQ-013-HLJ-Chunk_1-Item_2-v1.0,['logs'],"['[INFERRED] traceability', 'logging']",1,2,3,direct
gpt41,req-005,REQ-005-HLJ-Chunk_2-Item_5-v1.0,[],"['availability', 'resilience', '[INFERRED] user-notification']",0,3,3,none
opus4,req-021,REQ-021-HLJ-Chunk_2-Item_3-v1.0,[],"['[INFERRED] collaboration', 'content', 'workflow']",0,3,3,none
opus4,req-021,REQ-021-HLJ-Chunk_1-Item_8-v1.0,['notification'],"['notifications', 'workflow']",1,2,3,direct
opus4,req-009,REQ-009-HLJ-Chunk_2-Item_5-v1.0,[],"['fx-rates', 'timing', 'database']",0,3,3,none
opus4,req-021,REQ-021-HLJ-Chunk_1-Item_5-v1.0,['filter'],"['ux', 'filtering']",1,2,3,direct
opus4,req-003,REQ-003-HLJ-Chunk_1-Item_6-v1.0,['alert'],"['alerts', 'integration']",1,2,3,direct
opus4,req-009,REQ-009-HLJ-Chunk_2-Item_2-v1.0,[],"['rate-lock', 'fx-rates', 'database']",0,3,3,none
opus4,req-009,REQ-009-HLJ-Chunk_2-Item_6-v1.0,[],"['availability', 'fx-rates', 'error-handling']",0,3,3,none
