tag,hlj_id,requirement_id,model,version,cluster_id
coverage,REQ-030-HLJ-Chunk_1-Item_4-v1.0,req-030,gpt41,tags_v1,tags_v1_31
visualization,REQ-030-HLJ-Chunk_1-Item_4-v1.0,req-030,gpt41,tags_v1,tags_v1_33
logs,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,tags_v1_24
screenshots,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,tags_v1_34
video,REQ-030-HLJ-Chunk_1-Item_5-v1.0,req-030,gpt41,tags_v1,tags_v1_35
flakiness,REQ-030-HLJ-Chunk_1-Item_6-v1.0,req-030,gpt41,tags_v1,tags_v1_36
recommendations,REQ-030-HLJ-Chunk_1-Item_6-v1.0,req-030,gpt41,tags_v1,tags_v1_37
flakiness,REQ-030-HLJ-Chunk_1-Item_7-v1.0,req-030,gpt41,tags_v1,tags_v1_36
headless,REQ-030-HLJ-Chunk_1-Item_7-v1.0,req-030,gpt41,tags_v1,tags_v1_38
quarantine,REQ-030-HLJ-Chunk_1-Item_8-v1.0,req-030,gpt41,tags_v1,tags_v1_39
flakiness,REQ-030-HLJ-Chunk_1-Item_8-v1.0,req-030,gpt41,tags_v1,tags_v1_36
documentation,REQ-030-HLJ-Chunk_1-Item_9-v1.0,req-030,gpt41,tags_v1,tags_v1_40
testing-guides,REQ-030-HLJ-Chunk_1-Item_9-v1.0,req-030,gpt41,tags_v1,tags_v1_41
browser-matrix,REQ-030-HLJ-Chunk_1-Item_10-v1.0,req-030,gpt41,tags_v1,tags_v1_42
communication,REQ-030-HLJ-Chunk_1-Item_10-v1.0,req-030,gpt41,tags_v1,tags_v1_43
security,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v1,tags_v1_44
artifacts,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v1,tags_v1_45
compliance,REQ-030-HLJ-Chunk_2-Item_1-v1.0,req-030,gpt41,tags_v1,tags_v1_12
accessibility,REQ-030-HLJ-Chunk_2-Item_2-v1.0,req-030,gpt41,tags_v1,tags_v1_46
compliance,REQ-030-HLJ-Chunk_2-Item_2-v1.0,req-030,gpt41,tags_v1,tags_v1_12
rate-limiting,REQ-006-HLJ-Chunk_1-Item_1-v1.0,req-006,gpt41,tags_v1,tags_v1_47
configuration,REQ-006-HLJ-Chunk_1-Item_1-v1.0,req-006,gpt41,tags_v1,tags_v1_48
rate-limiting,REQ-006-HLJ-Chunk_1-Item_2-v1.0,req-006,gpt41,tags_v1,tags_v1_47
configuration,REQ-006-HLJ-Chunk_1-Item_3-v1.0,req-006,gpt41,tags_v1,tags_v1_48
real-time,REQ-006-HLJ-Chunk_1-Item_3-v1.0,req-006,gpt41,tags_v1,tags_v1_49
rate-limiting,REQ-006-HLJ-Chunk_1-Item_4-v1.0,req-006,gpt41,tags_v1,tags_v1_47
enforcement,REQ-006-HLJ-Chunk_1-Item_4-v1.0,req-006,gpt41,tags_v1,tags_v1_50
feedback,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,gpt41,tags_v1,tags_v1_51
api,REQ-006-HLJ-Chunk_1-Item_5-v1.0,req-006,gpt41,tags_v1,tags_v1_52
compliance,REQ-006-HLJ-Chunk_1-Item_6-v1.0,req-006,gpt41,tags_v1,tags_v1_12
logging,REQ-006-HLJ-Chunk_1-Item_6-v1.0,req-006,gpt41,tags_v1,tags_v1_24
monitoring,REQ-006-HLJ-Chunk_1-Item_7-v1.0,req-006,gpt41,tags_v1,tags_v1_23
alerting,REQ-006-HLJ-Chunk_1-Item_7-v1.0,req-006,gpt41,tags_v1,tags_v1_53
monitoring,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,gpt41,tags_v1,tags_v1_23
self-service,REQ-006-HLJ-Chunk_1-Item_8-v1.0,req-006,gpt41,tags_v1,tags_v1_54
reporting,REQ-006-HLJ-Chunk_1-Item_9-v1.0,req-006,gpt41,tags_v1,tags_v1_55
compliance,REQ-006-HLJ-Chunk_1-Item_9-v1.0,req-006,gpt41,tags_v1,tags_v1_12
security,REQ-006-HLJ-Chunk_1-Item_10-v1.0,req-006,gpt41,tags_v1,tags_v1_44
support,REQ-006-HLJ-Chunk_2-Item_1-v1.0,req-006,gpt41,tags_v1,tags_v1_56
audit,REQ-006-HLJ-Chunk_2-Item_1-v1.0,req-006,gpt41,tags_v1,tags_v1_25
availability,REQ-006-HLJ-Chunk_2-Item_2-v1.0,req-006,gpt41,tags_v1,tags_v1_57
fallback,REQ-006-HLJ-Chunk_2-Item_2-v1.0,req-006,gpt41,tags_v1,tags_v1_58
security,REQ-006-HLJ-Chunk_2-Item_3-v1.0,req-006,gpt41,tags_v1,tags_v1_44
security,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v1,tags_v1_44
compliance,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v1,tags_v1_12
audit,REQ-006-HLJ-Chunk_2-Item_4-v1.0,req-006,gpt41,tags_v1,tags_v1_25
rollout,REQ-006-HLJ-Chunk_2-Item_5-v1.0,req-006,gpt41,tags_v1,tags_v1_59
availability,REQ-006-HLJ-Chunk_2-Item_5-v1.0,req-006,gpt41,tags_v1,tags_v1_57
testing,REQ-006-HLJ-Chunk_2-Item_6-v1.0,req-006,gpt41,tags_v1,tags_v1_60
developer-experience,REQ-006-HLJ-Chunk_2-Item_6-v1.0,req-006,gpt41,tags_v1,tags_v1_61
documentation,REQ-006-HLJ-Chunk_2-Item_7-v1.0,req-006,gpt41,tags_v1,tags_v1_40
migration,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v1,tags_v1_62
compatibility,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v1,tags_v1_63
legacy,REQ-006-HLJ-Chunk_2-Item_8-v1.0,req-006,gpt41,tags_v1,tags_v1_64
performance,REQ-006-HLJ-Chunk_2-Item_9-v1.0,req-006,gpt41,tags_v1,tags_v1_65
latency,REQ-006-HLJ-Chunk_2-Item_9-v1.0,req-006,gpt41,tags_v1,tags_v1_66
compliance,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v1,tags_v1_12
legal,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v1,tags_v1_67
communication,REQ-006-HLJ-Chunk_2-Item_10-v1.0,req-006,gpt41,tags_v1,tags_v1_43
api,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v1,tags_v1_52
rest,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v1,tags_v1_68
spec,REQ-001-HLJ-Chunk_1-Item_1-v1.0,req-001,gpt41,tags_v1,tags_v1_69
api,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v1,tags_v1_52
filtering,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v1,tags_v1_70
pagination,REQ-001-HLJ-Chunk_1-Item_2-v1.0,req-001,gpt41,tags_v1,tags_v1_71
openapi,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v1,tags_v1_72
spec,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v1,tags_v1_69
compliance,REQ-001-HLJ-Chunk_1-Item_3-v1.0,req-001,gpt41,tags_v1,tags_v1_12
deduplication,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v1,tags_v1_73
schema,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v1,tags_v1_74
data,REQ-001-HLJ-Chunk_1-Item_4-v1.0,req-001,gpt41,tags_v1,tags_v1_75
timezone,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v1,tags_v1_76
data,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v1,tags_v1_75
metadata,REQ-001-HLJ-Chunk_1-Item_5-v1.0,req-001,gpt41,tags_v1,tags_v1_77
oauth,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v1,tags_v1_78
security,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v1,tags_v1_44
authentication,REQ-001-HLJ-Chunk_1-Item_6-v1.0,req-001,gpt41,tags_v1,tags_v1_79
logging,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v1,tags_v1_24
compliance,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v1,tags_v1_12
audit,REQ-001-HLJ-Chunk_1-Item_7-v1.0,req-001,gpt41,tags_v1,tags_v1_25
error,REQ-001-HLJ-Chunk_1-Item_8-v1.0,req-001,gpt41,tags_v1,tags_v1_80
logging,REQ-001-HLJ-Chunk_1-Item_8-v1.0,req-001,gpt41,tags_v1,tags_v1_24
performance,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v1,tags_v1_65
latency,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v1,tags_v1_66
compliance,REQ-001-HLJ-Chunk_1-Item_9-v1.0,req-001,gpt41,tags_v1,tags_v1_12
documentation,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,tags_v1_40
integration,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,tags_v1_0
support,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,tags_v1_56
compliance,REQ-001-HLJ-Chunk_1-Item_10-v1.0,req-001,gpt41,tags_v1,tags_v1_12
aml,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v1,tags_v1_11
screening,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v1,tags_v1_81
integration,REQ-007-HLJ-Chunk_1-Item_1-v1.0,req-007,gpt41,tags_v1,tags_v1_0
performance,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v1,tags_v1_65
aml,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v1,tags_v1_11
onboarding,REQ-007-HLJ-Chunk_1-Item_2-v1.0,req-007,gpt41,tags_v1,tags_v1_82
aml,REQ-007-HLJ-Chunk_1-Item_3-v1.0,req-007,gpt41,tags_v1,tags_v1_11
integration,REQ-007-HLJ-Chunk_1-Item_3-v1.0,req-007,gpt41,tags_v1,tags_v1_0
availability,REQ-007-HLJ-Chunk_1-Item_4-v1.0,req-007,gpt41,tags_v1,tags_v1_57
aml,REQ-007-HLJ-Chunk_1-Item_4-v1.0,req-007,gpt41,tags_v1,tags_v1_11
aml,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v1,tags_v1_11
notification,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v1,tags_v1_83
compliance,REQ-007-HLJ-Chunk_1-Item_5-v1.0,req-007,gpt41,tags_v1,tags_v1_12
audit,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v1,tags_v1_25
logging,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v1,tags_v1_24
traceability,REQ-007-HLJ-Chunk_1-Item_6-v1.0,req-007,gpt41,tags_v1,tags_v1_84
aml,REQ-007-HLJ-Chunk_1-Item_7-v1.0,req-007,gpt41,tags_v1,tags_v1_11
audit,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v1,tags_v1_25
security,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v1,tags_v1_44
immutability,REQ-007-HLJ-Chunk_1-Item_8-v1.0,req-007,gpt41,tags_v1,tags_v1_85
dashboard,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v1,tags_v1_22
compliance,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v1,tags_v1_12
reporting,REQ-007-HLJ-Chunk_1-Item_9-v1.0,req-007,gpt41,tags_v1,tags_v1_55
security,REQ-007-HLJ-Chunk_2-Item_1-v1.0,req-007,gpt41,tags_v1,tags_v1_44
encryption,REQ-007-HLJ-Chunk_2-Item_1-v1.0,req-007,gpt41,tags_v1,tags_v1_20
compliance,REQ-007-HLJ-Chunk_2-Item_1-v1.0,req-007,gpt41,tags_v1,tags_v1_12
scheduled payments,REQ-009-HLJ-Chunk_1-Item_1-v1.0,req-009,gpt41,tags_v1,tags_v1_86
ui,REQ-009-HLJ-Chunk_1-Item_1-v1.0,req-009,gpt41,tags_v1,tags_v1_87
fx,REQ-009-HLJ-Chunk_1-Item_2-v1.0,req-009,gpt41,tags_v1,tags_v1_88
locking,REQ-009-HLJ-Chunk_1-Item_2-v1.0,req-009,gpt41,tags_v1,tags_v1_89
fx,REQ-009-HLJ-Chunk_1-Item_3-v1.0,req-009,gpt41,tags_v1,tags_v1_88
ui,REQ-009-HLJ-Chunk_1-Item_3-v1.0,req-009,gpt41,tags_v1,tags_v1_87
countdown,REQ-009-HLJ-Chunk_1-Item_3-v1.0,req-009,gpt41,tags_v1,tags_v1_90
fx,REQ-009-HLJ-Chunk_1-Item_4-v1.0,req-009,gpt41,tags_v1,tags_v1_88
api,REQ-009-HLJ-Chunk_1-Item_4-v1.0,req-009,gpt41,tags_v1,tags_v1_52
fx,REQ-009-HLJ-Chunk_1-Item_5-v1.0,req-009,gpt41,tags_v1,tags_v1_88
notifications,REQ-009-HLJ-Chunk_1-Item_5-v1.0,req-009,gpt41,tags_v1,tags_v1_83
audit,REQ-009-HLJ-Chunk_1-Item_6-v1.0,req-009,gpt41,tags_v1,tags_v1_25
fx,REQ-009-HLJ-Chunk_1-Item_6-v1.0,req-009,gpt41,tags_v1,tags_v1_88
fx,REQ-009-HLJ-Chunk_1-Item_7-v1.0,req-009,gpt41,tags_v1,tags_v1_88
validation,REQ-009-HLJ-Chunk_1-Item_7-v1.0,req-009,gpt41,tags_v1,tags_v1_91
scheduled payments,REQ-009-HLJ-Chunk_1-Item_8-v1.0,req-009,gpt41,tags_v1,tags_v1_86
refund,REQ-009-HLJ-Chunk_1-Item_8-v1.0,req-009,gpt41,tags_v1,tags_v1_92
cancellation,REQ-009-HLJ-Chunk_1-Item_8-v1.0,req-009,gpt41,tags_v1,tags_v1_93
fx,REQ-009-HLJ-Chunk_1-Item_9-v1.0,req-009,gpt41,tags_v1,tags_v1_88
compliance,REQ-009-HLJ-Chunk_1-Item_9-v1.0,req-009,gpt41,tags_v1,tags_v1_12
compliance,REQ-009-HLJ-Chunk_1-Item_10-v1.0,req-009,gpt41,tags_v1,tags_v1_12
documentation,REQ-009-HLJ-Chunk_1-Item_10-v1.0,req-009,gpt41,tags_v1,tags_v1_40
audit,REQ-009-HLJ-Chunk_2-Item_1-v1.0,req-009,gpt41,tags_v1,tags_v1_25
compliance,REQ-009-HLJ-Chunk_2-Item_1-v1.0,req-009,gpt41,tags_v1,tags_v1_12
notifications,REQ-009-HLJ-Chunk_2-Item_2-v1.0,req-009,gpt41,tags_v1,tags_v1_83
usability,REQ-009-HLJ-Chunk_2-Item_2-v1.0,req-009,gpt41,tags_v1,tags_v1_94
dashboard,REQ-009-HLJ-Chunk_2-Item_3-v1.0,req-009,gpt41,tags_v1,tags_v1_22
compliance,REQ-009-HLJ-Chunk_2-Item_3-v1.0,req-009,gpt41,tags_v1,tags_v1_12
fx,REQ-009-HLJ-Chunk_2-Item_4-v1.0,req-009,gpt41,tags_v1,tags_v1_88
availability,REQ-009-HLJ-Chunk_2-Item_4-v1.0,req-009,gpt41,tags_v1,tags_v1_57
scheduled payments,REQ-009-HLJ-Chunk_2-Item_5-v1.0,req-009,gpt41,tags_v1,tags_v1_86
retry,REQ-009-HLJ-Chunk_2-Item_5-v1.0,req-009,gpt41,tags_v1,tags_v1_95
fx,REQ-009-HLJ-Chunk_2-Item_6-v1.0,req-009,gpt41,tags_v1,tags_v1_88
api,REQ-009-HLJ-Chunk_2-Item_6-v1.0,req-009,gpt41,tags_v1,tags_v1_52
sla,REQ-009-HLJ-Chunk_2-Item_7-v1.0,req-009,gpt41,tags_v1,tags_v1_96
compliance,REQ-009-HLJ-Chunk_2-Item_7-v1.0,req-009,gpt41,tags_v1,tags_v1_12
beta,REQ-009-HLJ-Chunk_2-Item_8-v1.0,req-009,gpt41,tags_v1,tags_v1_97
rollout,REQ-009-HLJ-Chunk_2-Item_8-v1.0,req-009,gpt41,tags_v1,tags_v1_59
documentation,REQ-009-HLJ-Chunk_2-Item_9-v1.0,req-009,gpt41,tags_v1,tags_v1_40
delivery,REQ-009-HLJ-Chunk_2-Item_10-v1.0,req-009,gpt41,tags_v1,tags_v1_98
implementation,REQ-009-HLJ-Chunk_2-Item_10-v1.0,req-009,gpt41,tags_v1,tags_v1_99
integration,REQ-014-HLJ-Chunk_1-Item_1-v1.0,req-014,gpt41,tags_v1,tags_v1_0
oracle,REQ-014-HLJ-Chunk_1-Item_1-v1.0,req-014,gpt41,tags_v1,tags_v1_100
usability,REQ-014-HLJ-Chunk_1-Item_2-v1.0,req-014,gpt41,tags_v1,tags_v1_94
ui,REQ-014-HLJ-Chunk_1-Item_2-v1.0,req-014,gpt41,tags_v1,tags_v1_87
usability,REQ-014-HLJ-Chunk_1-Item_4-v1.0,req-014,gpt41,tags_v1,tags_v1_94
advanced,REQ-014-HLJ-Chunk_1-Item_4-v1.0,req-014,gpt41,tags_v1,tags_v1_101
notification,REQ-014-HLJ-Chunk_1-Item_5-v1.0,req-014,gpt41,tags_v1,tags_v1_83
usability,REQ-014-HLJ-Chunk_1-Item_6-v1.0,req-014,gpt41,tags_v1,tags_v1_94
reliability,REQ-014-HLJ-Chunk_1-Item_6-v1.0,req-014,gpt41,tags_v1,tags_v1_102
security,REQ-014-HLJ-Chunk_1-Item_7-v1.0,req-014,gpt41,tags_v1,tags_v1_44
blocking,REQ-014-HLJ-Chunk_1-Item_7-v1.0,req-014,gpt41,tags_v1,tags_v1_30
security,REQ-014-HLJ-Chunk_1-Item_8-v1.0,req-014,gpt41,tags_v1,tags_v1_44
compliance,REQ-014-HLJ-Chunk_1-Item_8-v1.0,req-014,gpt41,tags_v1,tags_v1_12
privacy,REQ-014-HLJ-Chunk_1-Item_8-v1.0,req-014,gpt41,tags_v1,tags_v1_18
logging,REQ-014-HLJ-Chunk_1-Item_9-v1.0,req-014,gpt41,tags_v1,tags_v1_24
audit,REQ-014-HLJ-Chunk_1-Item_9-v1.0,req-014,gpt41,tags_v1,tags_v1_25
documentation,REQ-014-HLJ-Chunk_1-Item_10-v1.0,req-014,gpt41,tags_v1,tags_v1_40
support,REQ-014-HLJ-Chunk_1-Item_10-v1.0,req-014,gpt41,tags_v1,tags_v1_56
engine,REQ-013-HLJ-Chunk_1-Item_1-v1.0,req-013,gpt41,tags_v1,tags_v1_103
batch,REQ-013-HLJ-Chunk_1-Item_1-v1.0,req-013,gpt41,tags_v1,tags_v1_104
compliance,REQ-013-HLJ-Chunk_1-Item_1-v1.0,req-013,gpt41,tags_v1,tags_v1_12
logging,REQ-013-HLJ-Chunk_1-Item_2-v1.0,req-013,gpt41,tags_v1,tags_v1_24
audit,REQ-013-HLJ-Chunk_1-Item_2-v1.0,req-013,gpt41,tags_v1,tags_v1_25
scheduling,REQ-013-HLJ-Chunk_1-Item_3-v1.0,req-013,gpt41,tags_v1,tags_v1_105
batch,REQ-013-HLJ-Chunk_1-Item_3-v1.0,req-013,gpt41,tags_v1,tags_v1_104
failure,REQ-013-HLJ-Chunk_1-Item_4-v1.0,req-013,gpt41,tags_v1,tags_v1_106
rollback,REQ-013-HLJ-Chunk_1-Item_4-v1.0,req-013,gpt41,tags_v1,tags_v1_59
reliability,REQ-013-HLJ-Chunk_1-Item_4-v1.0,req-013,gpt41,tags_v1,tags_v1_102
atomicity,REQ-013-HLJ-Chunk_1-Item_5-v1.0,req-013,gpt41,tags_v1,tags_v1_107
rollback,REQ-013-HLJ-Chunk_1-Item_5-v1.0,req-013,gpt41,tags_v1,tags_v1_59
consistency,REQ-013-HLJ-Chunk_1-Item_5-v1.0,req-013,gpt41,tags_v1,tags_v1_108
retry,REQ-013-HLJ-Chunk_1-Item_6-v1.0,req-013,gpt41,tags_v1,tags_v1_95
partial,REQ-013-HLJ-Chunk_1-Item_6-v1.0,req-013,gpt41,tags_v1,tags_v1_109
logging,REQ-013-HLJ-Chunk_1-Item_7-v1.0,req-013,gpt41,tags_v1,tags_v1_24
exception,REQ-013-HLJ-Chunk_1-Item_7-v1.0,req-013,gpt41,tags_v1,tags_v1_110
audit,REQ-013-HLJ-Chunk_1-Item_8-v1.0,req-013,gpt41,tags_v1,tags_v1_25
logging,REQ-013-HLJ-Chunk_1-Item_8-v1.0,req-013,gpt41,tags_v1,tags_v1_24
compliance,REQ-013-HLJ-Chunk_1-Item_8-v1.0,req-013,gpt41,tags_v1,tags_v1_12
reporting,REQ-013-HLJ-Chunk_1-Item_9-v1.0,req-013,gpt41,tags_v1,tags_v1_55
exception,REQ-013-HLJ-Chunk_1-Item_9-v1.0,req-013,gpt41,tags_v1,tags_v1_110
dashboard,REQ-013-HLJ-Chunk_1-Item_10-v1.0,req-013,gpt41,tags_v1,tags_v1_22
admin,REQ-013-HLJ-Chunk_1-Item_10-v1.0,req-013,gpt41,tags_v1,tags_v1_8
notification,REQ-013-HLJ-Chunk_2-Item_1-v1.0,req-013,gpt41,tags_v1,tags_v1_83
status,REQ-013-HLJ-Chunk_2-Item_1-v1.0,req-013,gpt41,tags_v1,tags_v1_111
notification,REQ-013-HLJ-Chunk_2-Item_2-v1.0,req-013,gpt41,tags_v1,tags_v1_83
rollback,REQ-013-HLJ-Chunk_2-Item_2-v1.0,req-013,gpt41,tags_v1,tags_v1_59
compliance,REQ-013-HLJ-Chunk_2-Item_3-v1.0,req-013,gpt41,tags_v1,tags_v1_12
security,REQ-013-HLJ-Chunk_2-Item_3-v1.0,req-013,gpt41,tags_v1,tags_v1_44
audit,REQ-013-HLJ-Chunk_2-Item_3-v1.0,req-013,gpt41,tags_v1,tags_v1_25
security,REQ-013-HLJ-Chunk_2-Item_4-v1.0,req-013,gpt41,tags_v1,tags_v1_44
access,REQ-013-HLJ-Chunk_2-Item_4-v1.0,req-013,gpt41,tags_v1,tags_v1_112
instrumentation,REQ-025-HLJ-Chunk_1-Item_1-v1.0,req-025,gpt41,tags_v1,tags_v1_113
timing,REQ-025-HLJ-Chunk_1-Item_1-v1.0,req-025,gpt41,tags_v1,tags_v1_114
performance,REQ-025-HLJ-Chunk_1-Item_1-v1.0,req-025,gpt41,tags_v1,tags_v1_65
reporting,REQ-025-HLJ-Chunk_1-Item_2-v1.0,req-025,gpt41,tags_v1,tags_v1_55
segmentation,REQ-025-HLJ-Chunk_1-Item_2-v1.0,req-025,gpt41,tags_v1,tags_v1_115
analytics,REQ-025-HLJ-Chunk_1-Item_2-v1.0,req-025,gpt41,tags_v1,tags_v1_32
metrics,REQ-025-HLJ-Chunk_1-Item_3-v1.0,req-025,gpt41,tags_v1,tags_v1_116
visualization,REQ-025-HLJ-Chunk_1-Item_3-v1.0,req-025,gpt41,tags_v1,tags_v1_33
analytics,REQ-025-HLJ-Chunk_1-Item_3-v1.0,req-025,gpt41,tags_v1,tags_v1_32
alerting,REQ-025-HLJ-Chunk_1-Item_4-v1.0,req-025,gpt41,tags_v1,tags_v1_53
